DATE,FFWSJLOW
1932-06-01,0.125
1932-06-02,0.25
1932-06-03,0.5
1932-06-04,.
1932-06-05,.
1932-06-06,0.5
1932-06-07,0.25
1932-06-08,0.125
1932-06-09,0.125
1932-06-10,0.125
1932-06-11,.
1932-06-12,.
1932-06-13,0.125
1932-06-14,0.125
1932-06-15,0.25
1932-06-16,0.125
1932-06-17,0.125
1932-06-18,.
1932-06-19,.
1932-06-20,0.125
1932-06-21,0.125
1932-06-22,0.125
1932-06-23,.
1932-06-24,.
1932-06-25,.
1932-06-26,.
1932-06-27,.
1932-06-28,.
1932-06-29,0.25
1932-06-30,0.25
1932-07-01,0.25
1932-07-02,.
1932-07-03,.
1932-07-04,.
1932-07-05,0.75
1932-07-06,0.5
1932-07-07,0.25
1932-07-08,0.25
1932-07-09,.
1932-07-10,.
1932-07-11,0.25
1932-07-12,.
1932-07-13,0.125
1932-07-14,.
1932-07-15,0.125
1932-07-16,.
1932-07-17,.
1932-07-18,.
1932-07-19,0.125
1932-07-20,.
1932-07-21,.
1932-07-22,.
1932-07-23,.
1932-07-24,.
1932-07-25,.
1932-07-26,.
1932-07-27,.
1932-07-28,.
1932-07-29,.
1932-07-30,.
1932-07-31,.
1932-08-01,.
1932-08-02,.
1932-08-03,0.125
1932-08-04,0.125
1932-08-05,0.125
1932-08-06,.
1932-08-07,.
1932-08-08,0.125
1932-08-09,.
1932-08-10,.
1932-08-11,.
1932-08-12,.
1932-08-13,.
1932-08-14,.
1932-08-15,.
1932-08-16,.
1932-08-17,.
1932-08-18,.
1932-08-19,.
1932-08-20,.
1932-08-21,.
1932-08-22,.
1932-08-23,.
1932-08-24,.
1932-08-25,.
1932-08-26,.
1932-08-27,.
1932-08-28,.
1932-08-29,.
1932-08-30,.
1932-08-31,.
1932-09-01,.
1932-09-02,.
1932-09-03,.
1932-09-04,.
1932-09-05,.
1932-09-06,.
1932-09-07,.
1932-09-08,.
1932-09-09,0.125
1932-09-10,.
1932-09-11,.
1932-09-12,0.125
1932-09-13,.
1932-09-14,.
1932-09-15,.
1932-09-16,.
1932-09-17,.
1932-09-18,.
1932-09-19,.
1932-09-20,.
1932-09-21,.
1932-09-22,.
1932-09-23,.
1932-09-24,.
1932-09-25,.
1932-09-26,.
1932-09-27,0.0625
1932-09-28,.
1932-09-29,.
1932-09-30,.
1932-10-01,.
1932-10-02,.
1932-10-03,.
1932-10-04,.
1932-10-05,.
1932-10-06,.
1932-10-07,.
1932-10-08,.
1932-10-09,.
1932-10-10,.
1932-10-11,.
1932-10-12,.
1932-10-13,.
1932-10-14,.
1932-10-15,.
1932-10-16,.
1932-10-17,.
1932-10-18,.
1932-10-19,.
1932-10-20,.
1932-10-21,.
1932-10-22,.
1932-10-23,.
1932-10-24,.
1932-10-25,.
1932-10-26,.
1932-10-27,.
1932-10-28,.
1932-10-29,.
1932-10-30,.
1932-10-31,.
1932-11-01,.
1932-11-02,.
1932-11-03,.
1932-11-04,.
1932-11-05,.
1932-11-06,.
1932-11-07,.
1932-11-08,.
1932-11-09,.
1932-11-10,.
1932-11-11,.
1932-11-12,.
1932-11-13,.
1932-11-14,.
1932-11-15,.
1932-11-16,.
1932-11-17,.
1932-11-18,.
1932-11-19,.
1932-11-20,.
1932-11-21,.
1932-11-22,.
1932-11-23,.
1932-11-24,.
1932-11-25,.
1932-11-26,.
1932-11-27,.
1932-11-28,.
1932-11-29,.
1932-11-30,.
1932-12-01,.
1932-12-02,.
1932-12-03,.
1932-12-04,.
1932-12-05,.
1932-12-06,.
1932-12-07,0.125
1932-12-08,.
1932-12-09,.
1932-12-10,.
1932-12-11,.
1932-12-12,.
1932-12-13,.
1932-12-14,.
1932-12-15,.
1932-12-16,.
1932-12-17,.
1932-12-18,.
1932-12-19,.
1932-12-20,.
1932-12-21,.
1932-12-22,.
1932-12-23,.
1932-12-24,.
1932-12-25,.
1932-12-26,.
1932-12-27,.
1932-12-28,.
1932-12-29,.
1932-12-30,.
1932-12-31,.
1933-01-01,.
1933-01-02,.
1933-01-03,.
1933-01-04,.
1933-01-05,.
1933-01-06,.
1933-01-07,.
1933-01-08,.
1933-01-09,.
1933-01-10,.
1933-01-11,.
1933-01-12,.
1933-01-13,.
1933-01-14,.
1933-01-15,.
1933-01-16,.
1933-01-17,.
1933-01-18,.
1933-01-19,.
1933-01-20,.
1933-01-21,.
1933-01-22,.
1933-01-23,.
1933-01-24,.
1933-01-25,.
1933-01-26,.
1933-01-27,.
1933-01-28,.
1933-01-29,.
1933-01-30,.
1933-01-31,.
1933-02-01,.
1933-02-02,.
1933-02-03,.
1933-02-04,.
1933-02-05,.
1933-02-06,0.375
1933-02-07,0.25
1933-02-08,0.125
1933-02-09,0.125
1933-02-10,0.125
1933-02-11,.
1933-02-12,.
1933-02-13,.
1933-02-14,0.125
1933-02-15,0.25
1933-02-16,0.5
1933-02-17,0.25
1933-02-18,.
1933-02-19,.
1933-02-20,0.5
1933-02-21,0.75
1933-02-22,0.75
1933-02-23,0.75
1933-02-24,0.75
1933-02-25,.
1933-02-26,.
1933-02-27,1.5
1933-02-28,2.0
1933-03-01,2.0
1933-03-02,2.5
1933-03-03,3.5
1933-03-04,.
1933-03-05,.
1933-03-06,.
1933-03-07,.
1933-03-08,.
1933-03-09,.
1933-03-10,.
1933-03-11,.
1933-03-12,.
1933-03-13,3.5
1933-03-14,3.5
1933-03-15,3.25
1933-03-16,3.25
1933-03-17,3.0
1933-03-18,.
1933-03-19,.
1933-03-20,2.25
1933-03-21,2.0
1933-03-22,2.75
1933-03-23,3.0
1933-03-24,2.5
1933-03-25,.
1933-03-26,.
1933-03-27,1.5
1933-03-28,0.5
1933-03-29,0.5
1933-03-30,0.5
1933-03-31,0.5
1933-04-01,.
1933-04-02,.
1933-04-03,.
1933-04-04,.
1933-04-05,.
1933-04-06,.
1933-04-07,.
1933-04-08,.
1933-04-09,.
1933-04-10,.
1933-04-11,.
1933-04-12,.
1933-04-13,.
1933-04-14,.
1933-04-15,.
1933-04-16,.
1933-04-17,.
1933-04-18,.
1933-04-19,.
1933-04-20,.
1933-04-21,.
1933-04-22,.
1933-04-23,.
1933-04-24,.
1933-04-25,.
1933-04-26,0.125
1933-04-27,.
1933-04-28,.
1933-04-29,.
1933-04-30,.
1933-05-01,.
1933-05-02,0.125
1933-05-03,0.125
1933-05-04,.
1933-05-05,0.125
1933-05-06,.
1933-05-07,.
1933-05-08,0.125
1933-05-09,0.25
1933-05-10,0.125
1933-05-11,0.125
1933-05-12,0.125
1933-05-13,.
1933-05-14,.
1933-05-15,.
1933-05-16,.
1933-05-17,.
1933-05-18,0.125
1933-05-19,.
1933-05-20,.
1933-05-21,.
