DATE,USDONTD156N
2001-01-02,6.65125
2001-01-03,6.65375
2001-01-04,6.09625
2001-01-05,6.01625
2001-01-08,6.01500
2001-01-09,6.01125
2001-01-10,6.01500
2001-01-11,6.03750
2001-01-12,6.02500
2001-01-15,.
2001-01-16,6.17625
2001-01-17,6.05125
2001-01-18,6.02625
2001-01-19,5.99625
2001-01-22,6.00000
2001-01-23,6.02750
2001-01-24,6.10125
2001-01-25,6.11375
2001-01-26,6.10375
2001-01-29,6.11500
2001-01-30,6.10125
2001-01-31,6.03875
2001-02-01,5.65000
2001-02-02,5.59250
2001-02-05,5.60750
2001-02-06,5.61500
2001-02-07,5.63375
2001-02-08,5.58500
2001-02-09,5.55750
2001-02-12,5.57875
2001-02-13,5.57375
2001-02-14,5.56625
2001-02-15,5.64375
2001-02-16,5.55000
2001-02-19,.
2001-02-20,5.60875
2001-02-21,5.61250
2001-02-22,5.60000
2001-02-23,5.54375
2001-02-26,5.57125
2001-02-27,5.57625
2001-02-28,5.62625
2001-03-01,5.58750
2001-03-02,5.58375
2001-03-05,5.63750
2001-03-06,5.65000
2001-03-07,5.62938
2001-03-08,5.57531
2001-03-09,5.53641
2001-03-12,5.57406
2001-03-13,5.57156
2001-03-14,5.58656
2001-03-15,5.64813
2001-03-16,5.54516
2001-03-19,5.56906
2001-03-20,5.34250
2001-03-21,5.13688
2001-03-22,5.12813
2001-03-23,5.05875
2001-03-26,5.08797
2001-03-27,5.09281
2001-03-28,5.10750
2001-03-29,5.19219
2001-03-30,5.66813
2001-04-02,5.30281
2001-04-03,5.26250
2001-04-04,5.22750
2001-04-05,5.13313
2001-04-06,5.08406
2001-04-09,5.08750
2001-04-10,5.07906
2001-04-11,5.08156
2001-04-12,5.15063
2001-04-13,.
2001-04-16,.
2001-04-17,5.14875
2001-04-18,5.10797
2001-04-19,4.57125
2001-04-20,4.51750
2001-04-23,4.55125
2001-04-24,4.48484
2001-04-25,4.45219
2001-04-26,4.53250
2001-04-27,4.59172
2001-04-30,4.76875
2001-05-01,4.75375
2001-05-02,4.63563
2001-05-03,4.56875
2001-05-04,4.54516
2001-05-07,.
2001-05-08,4.53891
2001-05-09,4.52641
2001-05-10,4.51250
2001-05-11,4.49125
2001-05-14,4.50250
2001-05-15,4.36688
2001-05-16,4.13500
2001-05-17,4.08750
2001-05-18,4.04516
2001-05-21,4.07031
2001-05-22,4.06531
2001-05-23,4.05781
2001-05-24,4.04000
2001-05-25,3.99813
2001-05-28,.
2001-05-29,4.11625
2001-05-30,4.14953
2001-05-31,4.22875
2001-06-01,4.13063
2001-06-04,4.07531
2001-06-05,4.07031
2001-06-06,4.04891
2001-06-07,4.03891
2001-06-08,3.99750
2001-06-11,4.05500
2001-06-12,4.06156
2001-06-13,4.08031
2001-06-14,4.07625
2001-06-15,4.12250
2001-06-18,4.05500
2001-06-19,4.00875
2001-06-20,3.96984
2001-06-21,3.97859
2001-06-22,3.99000
2001-06-25,4.02250
2001-06-26,4.01766
2001-06-27,3.83922
2001-06-28,3.84922
2001-06-29,4.24000
2001-07-02,4.12313
2001-07-03,3.90000
2001-07-04,.
2001-07-05,3.85422
2001-07-06,3.77641
2001-07-09,3.82031
2001-07-10,3.79750
2001-07-11,3.80391
2001-07-12,3.80500
2001-07-13,3.76625
2001-07-16,3.90203
2001-07-17,3.81875
2001-07-18,3.78891
2001-07-19,3.77750
2001-07-20,3.77766
2001-07-23,3.81281
2001-07-24,3.81406
2001-07-25,3.81906
2001-07-26,3.82531
2001-07-27,3.83031
2001-07-30,3.85000
2001-07-31,3.96625
2001-08-01,3.90375
2001-08-02,3.81750
2001-08-03,3.76250
2001-08-06,3.80781
2001-08-07,3.80250
2001-08-08,3.79750
2001-08-09,3.79391
2001-08-10,3.75750
2001-08-13,3.80781
2001-08-14,3.81531
2001-08-15,3.89625
2001-08-16,3.81406
2001-08-17,3.77250
2001-08-20,3.75875
2001-08-21,3.61625
2001-08-22,3.57625
2001-08-23,3.58500
2001-08-24,3.56000
2001-08-27,.
2001-08-28,3.58156
2001-08-29,3.59250
2001-08-30,3.59422
2001-08-31,3.74250
2001-09-03,.
2001-09-04,3.71609
2001-09-05,3.62813
2001-09-06,3.59422
2001-09-07,3.52500
2001-09-10,3.55906
2001-09-11,3.55906
2001-09-12,4.93750
2001-09-13,5.36000
2001-09-14,4.50000
2001-09-17,3.71500
2001-09-18,3.06625
2001-09-19,1.94750
2001-09-20,1.93250
2001-09-21,2.35875
2001-09-24,2.89375
2001-09-25,3.11750
2001-09-26,3.27500
2001-09-27,3.18844
2001-09-28,3.56531
2001-10-01,3.35000
2001-10-02,2.75000
2001-10-03,2.58250
2001-10-04,2.55016
2001-10-05,2.48875
2001-10-08,.
2001-10-09,2.56906
2001-10-10,2.56281
2001-10-11,2.52500
2001-10-12,2.49500
2001-10-15,2.57156
2001-10-16,2.54375
2001-10-17,2.54016
2001-10-18,2.54000
2001-10-19,2.49875
2001-10-22,2.54750
2001-10-23,2.55000
2001-10-24,2.54375
2001-10-25,2.54625
2001-10-26,2.53000
2001-10-29,2.56406
2001-10-30,2.58875
2001-10-31,2.70500
2001-11-01,2.62563
2001-11-02,2.52750
2001-11-05,2.54141
2001-11-06,2.28766
2001-11-07,2.08875
2001-11-08,2.07906
2001-11-09,2.03875
2001-11-12,.
2001-11-13,2.09422
2001-11-14,2.11125
2001-11-15,2.15953
2001-11-16,2.06156
2001-11-19,2.08500
2001-11-20,2.09500
2001-11-21,2.11625
2001-11-22,.
2001-11-23,2.09000
2001-11-26,2.09422
2001-11-27,2.10625
2001-11-28,2.11938
2001-11-29,2.12438
2001-11-30,2.18594
2001-12-03,2.15453
2001-12-04,2.08125
2001-12-05,2.03391
2001-12-06,1.99500
2001-12-07,1.92375
2001-12-10,1.92500
2001-12-11,1.86625
2001-12-12,1.82531
2001-12-13,1.82531
2001-12-14,1.82031
2001-12-17,1.92078
