"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 15, 2019","7,651.0","7,538.1","7,656.6","7,533.7","-","1.97%"
"Jan 14, 2019","7,503.5","7,498.2","7,533.1","7,470.9","-","-0.92%"
"Jan 11, 2019","7,572.8","7,548.1","7,576.4","7,527.6","-","-0.29%"
"Jan 10, 2019","7,595.2","7,515.0","7,600.0","7,476.6","-","0.31%"
"Jan 09, 2019","7,571.9","7,544.2","7,606.8","7,513.1","-","0.75%"
"Jan 08, 2019","7,515.8","7,520.4","7,542.0","7,407.0","-","0.98%"
"Jan 07, 2019","7,442.8","7,381.2","7,480.9","7,356.5","-","1.02%"
"Jan 04, 2019","7,367.6","7,169.6","7,393.4","7,151.9","-","4.48%"
"Jan 03, 2019","7,051.5","7,197.9","7,218.5","7,042.7","-","-3.34%"
"Jan 02, 2019","7,295.0","7,109.0","7,333.8","7,109.0","-","0.49%"
"Dec 31, 2018","7,259.6","7,288.1","7,300.2","7,195.3","-","0.72%"
"Dec 28, 2018","7,207.4","7,254.8","7,325.6","7,148.2","-","-0.04%"
"Dec 27, 2018","7,210.4","7,073.1","7,214.6","6,929.6","-","0.41%"
"Dec 26, 2018","7,180.8","6,844.0","7,182.0","6,789.9","-","6.16%"
"Dec 24, 2018","6,764.1","6,872.7","6,965.7","6,759.2","-","-2.43%"
"Dec 21, 2018","6,932.9","7,215.5","7,233.0","6,895.5","-","-3.15%"
"Dec 20, 2018","7,158.3","7,238.0","7,316.3","7,065.1","-","-1.57%"
"Dec 19, 2018","7,272.7","7,430.2","7,539.2","7,205.9","-","-2.29%"
"Dec 18, 2018","7,443.0","7,456.3","7,511.3","7,377.8","-","0.69%"
"Dec 17, 2018","7,392.3","7,532.8","7,590.9","7,336.3","-","-2.22%"
"Dec 14, 2018","7,560.3","7,657.7","7,692.6","7,549.2","-","-2.56%"
"Dec 13, 2018","7,758.6","7,801.9","7,834.1","7,708.3","-","0.07%"
"Dec 12, 2018","7,752.9","7,794.8","7,871.7","7,750.4","-","0.89%"
"Dec 11, 2018","7,684.4","7,774.0","7,781.0","7,623.2","-","0.32%"
"Dec 10, 2018","7,659.8","7,568.8","7,691.5","7,489.7","-","1.05%"
"Dec 07, 2018","7,580.2","7,801.8","7,850.8","7,558.7","-","-3.30%"
"Dec 06, 2018","7,838.7","7,624.8","7,840.6","7,600.3","-","0.67%"
"Dec 04, 2018","7,786.5","8,051.9","8,073.5","7,775.8","-","-3.78%"
"Dec 03, 2018","8,092.2","8,143.4","8,143.6","8,036.1","-","1.63%"
"Nov 30, 2018","7,962.6","7,909.0","7,965.0","7,874.7","-","0.82%"
"Nov 29, 2018","7,897.7","7,895.9","7,950.0","7,837.1","-","-0.30%"
"Nov 28, 2018","7,921.4","7,741.3","7,923.1","7,692.2","-","3.17%"
"Nov 27, 2018","7,677.8","7,607.2","7,694.3","7,572.5","-","0.34%"
"Nov 26, 2018","7,651.8","7,581.3","7,653.6","7,551.6","-","2.31%"
"Nov 23, 2018","7,478.8","7,476.1","7,552.3","7,475.6","-","-0.73%"
"Nov 21, 2018","7,534.1","7,571.3","7,607.1","7,523.4","-","0.75%"
"Nov 20, 2018","7,477.9","7,419.1","7,577.6","7,380.9","-","-1.74%"
"Nov 19, 2018","7,610.4","7,827.3","7,837.9","7,588.0","-","-3.26%"
"Nov 16, 2018","7,867.0","7,816.6","7,902.7","7,787.3","-","-0.34%"
"Nov 15, 2018","7,893.8","7,733.7","7,914.9","7,678.5","-","1.80%"
"Nov 14, 2018","7,754.0","7,898.6","7,921.4","7,715.4","-","-0.84%"
"Nov 13, 2018","7,819.8","7,851.5","7,957.8","7,797.8","-","0.03%"
"Nov 12, 2018","7,817.8","8,002.4","8,012.0","7,806.6","-","-2.98%"
"Nov 09, 2018","8,058.2","8,122.7","8,132.9","7,993.8","-","-1.67%"
